Country Name,Country Code,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Algeria,DZA,NV.IND.TOTL.ZS,58.57163983,59.45751688,51.60473704,53.85321287,52.71284496,51.25972059,47.79220494,45.65004874,39.03236552,
Algeria,DZA,NY.GDP.DEFL.KD.ZG,6.395344304,15.31057085,-11.16160875,16.11997643,18.22801243,7.452373539,-0.112277918,-0.412084646,-6.024194973,
Algeria,DZA,IT.NET.USER.P2,9.451190626,10.18,11.23,12.5,14,15.22802676,16.5,25,38.2,
Algeria,DZA,SP.DYN.LE00.IN,72.89836585,73.21931707,73.52102439,73.80404878,74.07,74.32409756,74.56895122,74.80809756,,
Algeria,DZA,TG.VAL.TOTL.GD.ZS,65.04375005,69.45995277,61.56068059,60.49701524,60.364061,58.47669288,57.2245972,56.88781367,53.51758554,
Algeria,DZA,MS.MIL.XPND.GD.ZS,2.923322152,3.024746182,3.848515513,3.5180232,4.325836241,4.461326765,4.961963811,5.556059831,6.237946609,
Algeria,DZA,IT.CEL.SETS.P2,78.53288666,75.6646235,89.95836607,88.44487548,94.31443964,97.52089467,100.7877205,108.4380562,113.0310943,
Algeria,DZA,SH.DYN.MORT,30.7,29.4,28.3,27.3,26.6,26.1,25.8,25.6,25.5,
Algeria,DZA,TT.PRI.MRCH.XD.WD,189.5236719,231.4292699,171.2309049,225.0760125,262.5226379,290.9034636,283.2325812,269.0709521,174.3553551,
Algeria,DZA,SM.POP.NETM,-357340,,,,,-143268,,,,
Algeria,DZA,DT.ODA.ALLD.CD,394300000,325050000,317510000,198360000,190650000,144500000,200670000,157670000,,
Algeria,DZA,IQ.SCI.OVRL,60,58.88888889,57.77777778,58.88888889,62.22222222,58.88888889,51.11111111,52.22222222,53.33336667,55.55556667
Algeria,DZA,BX.TRF.PWKR.CD.DT,99004563.35,103631887.2,150336961.5,196589288,202869816.2,214841268.6,209601443.4,303917179.8,274905153.3,
Algeria,DZA,EN.POP.DNST,14.38526917,14.61580987,14.86383484,15.13018172,15.4160958,15.71935938,16.03287303,16.34700582,16.6544217,
Algeria,DZA,SP.POP.GROW,1.507551588,1.589910176,1.682726018,1.77604672,1.872060709,1.948088888,1.974814461,1.940399184,1.86309983,
Algeria,DZA,SP.POP.TOTL,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334,39666519,
Algeria,DZA,SI.POV.DDAY,,,,,,,,,,
Algeria,DZA,SI.POV.NAHC,,,,,5.5,,,,,
Algeria,DZA,SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Algeria,DZA,SH.STA.MALN.ZS,,,,,,3,,,,
Algeria,DZA,SE.PRM.CMPT.ZS,94.58865356,113.1773682,91.96723938,95.70555878,97.77239227,101.7010422,106.2238312,108.6427383,,
Algeria,DZA,GC.REV.XGRT.GD.ZS,39.72688046,47.18960447,37.52506975,37.05379913,40.42545227,,,,,
Algeria,DZA,SE.ENR.PRSC.FM.ZS,1.000319958,0.984749973,0.976880014,0.990629971,0.990960002,,,,,
Algeria,DZA,NV.SRV.TETC.ZS,33.73990767,33.86177823,38.32901948,37.11734868,38.67185668,39.34450124,41.55955923,43.25501054,47.91589411,
Algeria,DZA,AG.SRF.TOTL.K2,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,
Algeria,DZA,GC.TAX.TOTL.GD.ZS,37.43101167,45.2529353,35.14290262,34.40276877,37.18585281,,,,,
Algeria,DZA,ER.PTD.TOTL.ZS,,,,,,,,7.46,,
Algeria,DZA,IC.REG.DURS,24,24,24,24,24,24,24,22,20,20
Algeria,DZA,DT.TDS.DECT.EX.ZS,2.038663026,1.444377112,1.996516745,1.037624781,0.79096672,1.09338574,0.747189661,0.442759062,1.73016135,
Algeria,DZA,SP.URB.GROW,2.669633374,2.729563258,2.77362485,2.824082452,2.878442523,2.912500561,2.899810018,2.826978113,2.712199755,
American Samoa,ASM,SP.ADO.TFRT,,,,,,,,,,
American Samoa,ASM,NV.AGR.TOTL.ZS,,,,,,,,,,
American Samoa,ASM,ER.H2O.FWTL.ZS,,,,,,,,,,
American Samoa,ASM,SH.STA.BRTC.ZS,,,,,,,,,,
American Samoa,ASM,EN.ATM.CO2E.PC,,,,,,,,,,
American Samoa,ASM,SP.DYN.CONU.ZS,,,,,,,,,,
American Samoa,ASM,FS.AST.DOMS.GD.ZS,,,,,,,,,,
American Samoa,ASM,EG.USE.ELEC.KH.PC,,,,,,,,,,
American Samoa,ASM,EG.USE.PCAP.KG.OE,,,,,,,,,,
American Samoa,ASM,NE.EXP.GNFS.ZS,,,,,,,,,,
American Samoa,ASM,DT.DOD.DECT.CD,,,,,,,,,,
American Samoa,ASM,SP.DYN.TFRT.IN,,,,,,,,,,
American Samoa,ASM,BX.KLT.DINV.CD.WD,,,,,,,,,,
American Samoa,ASM,AG.LND.FRST.K2,178.1,177.8,177.5,177.1,176.8,176.4,176.1,175.8,175.4,
American Samoa,ASM,NY.GDP.MKTP.CD,,,,,,,,,,
American Samoa,ASM,NY.GDP.MKTP.KD.ZG,,,,,,,,,,
American Samoa,ASM,NY.GNP.PCAP.CD,,,,,,,,,,
American Samoa,ASM,NY.GNP.PCAP.PP.CD,,,,,,,,,,
American Samoa,ASM,NY.GNP.ATLS.CD,,,,,,,,,,
American Samoa,ASM,NY.GNP.MKTP.PP.CD,,,,,,,,,,
American Samoa,ASM,NE.GDI.TOTL.ZS,,,,,,,,,,
